CHROMATOGRAM,
D:\2023\Period 8-23\119188 - Kimberly\119188-3.raw,
Data points: 4800,
Time(min),uAU
0.352016189,0.047626607
0.353260238,0.049188827
0.354504288,0.04989253
0.355748337,0.050230307
0.356992386,0.05041327
0.358236436,0.050694751
0.359480485,0.050962159
0.360724534,0.051525121
0.361968584,0.052003639
0.363212633,0.052059936
0.364456682,0.051496973
0.365700732,0.050638456
0.366944781,0.049850309
0.36818883,0.049287346
0.36943288,0.049273271
0.370676929,0.04937179
0.371920978,0.049329569
0.373165028,0.049005864
0.374409077,0.048949569
0.375653125,0.049470309
0.376897176,0.050230307
0.378141225,0.0511029
0.379385273,0.052045861
0.380629324,0.053129563
0.381873372,0.053805119
0.383117421,0.053819193
0.384361471,0.053453267
0.38560552,0.053171786
0.386849569,0.053608081
0.388093619,0.054269561
0.389337668,0.05488882
0.390581717,0.055353264
0.391825767,0.055606597
0.393069816,0.055465857
0.394313865,0.054874747
0.395557915,0.053974007
0.396801964,0.052862156
0.398046013,0.051708084
0.399290063,0.050990307
0.400534112,0.050821419
0.401778161,0.050835493
0.403022211,0.05086364
0.40426626,0.05124364
0.405510309,0.051792529
0.406754359,0.052791786
0.407998408,0.05391771
0.409242456,0.054663636
0.410486507,0.054916969
0.411730556,0.055099931
0.412974604,0.055606597
0.414218655,0.05578956
0.415462703,0.055662894
0.416706752,0.05526882
0.417950803,0.05460734
0.419194851,0.053608081
0.4204389,0.052186601
0.42168295,0.050371049
0.422926999,0.04863994
0.424171048,0.047443644
0.425415098,0.04638809
0.426659147,0.045360684
0.427903196,0.044854019
0.429147246,0.0451355
0.430391295,0.04572661
0.431635344,0.04624735
0.432879394,0.046486609
0.434123443,0.046345869
0.435367492,0.045599943
0.436611542,0.04416439
0.437855591,0.04274291
0.43909964,0.04163106
0.44034369,0.04065995
0.441587739,0.039252544
0.442831787,0.037648101
0.444075838,0.036508103
0.445319887,0.035593289
0.446563935,0.035142919
0.447807986,0.034917734
0.449052034,0.035171067
0.450296083,0.035621437
0.451540134,0.036001437
0.452784182,0.036099956
0.454028231,0.035551067
0.455272281,0.034425143
0.45651633,0.033102181
0.457760379,0.031891813
0.459004429,0.030751814
0.460248478,0.029639963
0.461492527,0.028837741
0.462736577,0.028190336
0.463980626,0.02751478
0.465224675,0.026557744
0.466468725,0.025065894
0.467712774,0.02334886
0.468956823,0.022152566
0.470200873,0.022082194
0.471444922,0.02275775
0.472688971,0.02379923
0.473933021,0.024657747
0.47517707,0.024995524
0.476421119,0.025192561
0.477665169,0.02536145
0.478909218,0.025769597
0.480153266,0.026008857
0.481397317,0.026360709
0.482641366,0.026979966
0.483885414,0.02744441
0.485129465,0.027782187
0.486373513,0.02775404
0.487617562,0.026979966
0.488861612,0.025178487
0.490105661,0.022631083
0.49134971,0.019872569
0.49259376,0.017536274
0.493837809,0.015467389
0.495081858,0.01349702
0.496325908,0.011132579
0.497569957,0.008585174
0.498814006,0.006375547
0.500058056,0.004644439
0.501302105,0.00357481
0.502546154,0.002997774
0.503790204,0.002631849
0.505034253,0.002209627
0.506278302,0.001449627
0.507522352,0.000844443
0.508766401,0.000225184
0.51001045,0.000239259
0.5112545,0.00083037
0.512498549,0.001519999
0.513742597,0.001702961
0.514986648,0.00163259
0.516230697,0.000914814
0.517474745,-1.27E-04
0.518718796,-0.00142148
0.519962844,-0.00239259
0.521206893,-0.00312444
0.522450944,-0.003335551
0.523694992,-0.002969626
0.524939041,-0.002519256
0.526183091,-0.002491109
0.52742714,-0.002378516
0.528671189,-0.00208296
0.529915239,-0.001463701
0.531159288,-0.000731851
0.532403337,-0.000239259
0.533647387,0.000548889
0.534891436,0.001984441
0.536135485,0.003349626
0.537379535,0.00440518
0.538623584,0.004292587
0.539867633,0.003560736
0.541111683,0.002350367
0.542355732,0.001688887
0.543599781,0.001688887
0.544843831,0.001984441
0.54608788,0.001477776
0.547331928,0.000253333
0.548575979,-0.001407406
0.549820028,-0.002969626
0.551064076,-0.003898514
0.552308127,-0.004109624
0.553552175,-0.00395481
0.554796224,-0.003799996
0.556040275,-0.003476291
0.557284323,-0.002786663
0.558528372,-0.001843701
0.559772422,-0.00090074
0.561016471,-5.63E-05
0.56226052,0.000788147
0.56350457,0.001294813
0.564748619,0.001182221
0.565992668,0.00066148
0.567236718,0.000225184
0.568480767,1.41E-04
0.569724816,0.000365926
0.570968866,0.000689629
0.572212915,0.001154073
0.573456964,0.001815553
0.574701014,0.00253333
0.575945063,0.002659997
0.577189112,0.002195553
0.578433162,0.001322961
0.579677211,0.000478519
0.58092126,-0.000689629
0.58216531,-0.001829627
0.583409359,-0.0029837
0.584653407,-0.003588884
0.585897458,-0.00409555
0.587141507,-0.004081476
0.588385555,-0.003391847
0.589629606,-0.002420737
0.590873654,-0.001435554
0.592117703,-0.00052074
0.593361753,2.81E-05
0.594605802,0.000281481
0.595849851,0.000309629
0.597093901,0.000633333
0.59833795,0.001857776
0.599581999,0.003687403
0.600826049,0.005714067
0.602070098,0.007163694
0.603314147,0.007712583
0.604558197,0.007684434
0.605802246,0.008458509
0.607046295,0.009668877
0.608290345,0.010682209
0.609534394,0.011160727
0.610778443,0.011723689
0.612022493,0.012371096
0.613266542,0.01304665
0.614510591,0.013398501
0.615754641,0.013342206
0.61699869,0.012919984
0.618242738,0.011765911
0.619486789,0.01058369
0.620730838,0.009767396
0.621974886,0.010175543
0.623218937,0.01134369
0.624462985,0.013271836
0.625707034,0.015467389
0.626951085,0.017705163
0.628195133,0.019098494
0.629439182,0.01953479
0.630683232,0.019140717
0.631927281,0.018437014
0.63317133,0.018225903
0.63441538,0.018718496
0.635659429,0.019872569
0.636903478,0.021462936
0.638147528,0.022926639
0.639391577,0.024277747
0.640635626,0.026219967
0.641879676,0.029161446
0.643123725,0.034143661
0.644367774,0.043024391
0.645611824,0.057900669
0.646855873,0.078730273
0.648099922,0.101839873
0.649343972,0.116279856
0.650588021,0.104457647
0.651832069,0.045599943
0.65307612,-0.081052491
0.654320169,-0.291023341
0.655564217,-0.588267416
0.656808268,-0.966395093
0.658052316,-1.410290837
0.659296365,-1.899603561
0.660540416,-2.412138479
0.661784464,-2.927699319
0.663028513,-3.42987573
0.664272563,-3.905874397
0.665516612,-4.345815333
0.666760661,-4.743111874
0.668004711,-5.094738103
0.66924876,-5.402185869
0.670492809,-5.670085536
0.671736859,-5.9063045
0.672980908,-6.120328677
0.674224957,-6.322727686
0.675469007,-6.523860029
0.676713056,-6.732001251
0.677957105,-6.950360239
0.679201155,-7.172800701
0.680445204,-7.380801183
0.681689253,-7.540006911
0.682933303,-7.598836467
0.684177352,-7.490015863
0.685421401,-7.140191113
0.686665451,-6.488885997
0.6879095,-5.51009166
0.689153548,-4.226720666
0.690397599,-2.712844771
0.691641648,-1.082140134
0.692885696,0.539106736
0.694129747,2.049914486
0.695373795,3.385542453
0.696617844,4.523781777
0.697861894,5.469713191
0.699105943,6.237861124
0.700349992,6.839301859
0.701594042,7.276188721
0.702838091,7.544946906
0.70408214,7.641044563
0.70532619,7.56390466
0.706570239,7.320550149
0.707814288,6.92660323
0.709058338,6.405483139
0.710302387,5.786309094
0.711546436,5.100058097
0.712790486,4.373456779
0.714034535,3.617891053
0.715278584,2.820131304
0.716522634,1.949172389
0.717766683,0.976725451
0.719010732,-0.100713949
0.720254782,-1.249635481
0.721498831,-2.395812573
0.722742879,-3.425048329
0.72398693,-4.209958464
0.725230979,-4.644016443
0.726475027,-4.672882331
0.727719078,-4.307913899
0.728963126,-3.616019204
0.730207175,-2.696589237
0.731451226,-1.654546089
0.732695274,-0.5806815
0.733939323,0.455619433
0.735183373,1.40846121
0.736427422,2.250596459
0.737671471,2.969696304
0.738915521,3.565338524
0.74015957,4.043645339
0.741403619,4.414187099
0.742647669,4.689757126
0.743891718,4.888539101
0.745135767,5.037597434
0.746379817,5.175298003
0.747623866,5.350717044
0.748867915,5.61958782
0.750111965,6.032844343
0.751356014,6.615538433
0.752600063,7.340281974
0.753844113,8.103574357
0.755088162,8.724986177
0.75633221,8.987016961
0.757576261,8.708983976
0.75882031,7.822839153
0.760064358,6.406820174
0.761308409,4.658090499
0.762552457,2.81671131
0.763796506,1.087417906
0.765040557,-0.403376534
0.766284605,-1.615532804
0.767528654,-2.564771621
0.768772704,-3.297903303
0.770016753,-3.869253703
0.771260802,-4.325759801
0.772504852,-4.698891189
0.773748901,-5.003650809
0.77499295,-5.241882364
0.776237,-5.408533267
0.777481049,-5.500718339
0.778725098,-5.524982011
0.779969148,-5.502097597
0.781213197,-5.466504307
0.782457246,-5.461015426
0.783701296,-5.527388676
0.784945345,-5.693096617
0.786189394,-5.961995541
0.787433444,-6.313241771
0.788677493,-6.709004241
0.789921542,-7.106624487
0.791165592,-7.468989223
0.792409641,-7.771736253
0.793653689,-8.005478184
0.79489774,-8.172213533
0.796141789,-8.281512656
0.797385837,-8.344662947
0.798629888,-8.37086884
0.799873936,-8.365956994
0.801117985,-8.332207406
0.802362035,-8.26876156
0.803606084,-8.172171311
0.804850133,-8.037243329
0.806094183,-7.85831985
0.807338232,-7.630883094
0.808582281,-7.352258997
0.809826331,-7.025853477
0.81107038,-6.665107259
0.812314429,-6.295972904
0.813558479,-5.955127403
0.814802528,-5.678755154
0.816046577,-5.492667979
0.817290627,-5.403339941
0.818534676,-5.399202169
0.819778725,-5.458566539
0.821022775,-5.558773823
0.822266824,-5.682273669
0.823510873,-5.815934983
0.824754923,-5.94838593
0.825998972,-6.068803559
0.82724302,-6.168180471
0.828487071,-6.242716674
0.82973112,-6.295170683
0.830975168,-6.332593599
0.832219219,-6.361966154
0.833463267,-6.384611313
0.834707316,-6.394885374
0.835951367,-6.380656503
0.837195415,-6.327653606
0.838439464,-6.224124846
0.839683514,-6.063258379
0.840927563,-5.844434949
0.842171612,-5.571665659
0.843415662,-5.252212721
0.844659711,-4.895716869
0.84590376,-4.513493641
0.84714781,-4.117393394
0.848391859,-3.718590927
0.849635908,-3.327163266
0.850879958,-2.950316329
0.852124007,-2.593933067
0.853368056,-2.261940147
0.854612106,-1.957152379
0.855856155,-1.681202351
0.857100204,-1.434540437
0.858344254,-1.216167376
0.859588303,-1.024225391
0.860832351,-0.856420416
0.862076402,-0.71113393
0.863320451,-0.586282974
0.864564499,-0.479643847
0.86580855,-0.388809886
0.867052598,-0.311641834
0.868296647,-0.246338211
0.869540698,-0.190928651
0.870784746,-0.144062043
0.872028795,-0.105273943
0.873272845,-0.073522871
0.874516894,-0.04818957
0.875760943,-0.027430336
0.877004993,-0.010189617
0.878249042,0.004039254
0.879493091,0.015143684
0.880737141,0.024165156
0.88198119,0.031751071
0.883225239,0.038394026
0.884469289,0.04444587
0.885713338,0.049709567
0.886957387,0.054072526
0.888201437,0.057394003
0.889445486,0.059842889
0.890689535,0.062010293
0.891933585,0.064585846
0.893177634,0.067836953
0.894421683,0.071665096
0.895665733,0.075310277
0.896909782,0.078111014
0.89815383,0.079504346
0.899397881,0.08048953
0.90064193,0.082586564
0.901885978,0.085950263
0.903130029,0.089271741
0.904374077,0.091537664
0.905618126,0.092649514
0.906862176,0.09339544
0.908106225,0.094014697
0.909350274,0.094324327
0.910594324,0.093859883
0.911838373,0.0924947
0.913082422,0.091256183
0.914326472,0.090524331
0.915570521,0.090313221
0.91681457,0.090186554
0.91805862,0.089679889
0.919302669,0.08899026
0.920546718,0.087779891
0.921790768,0.085992486
0.923034817,0.083599896
0.924278866,0.081024344
0.925522916,0.078589531
0.926766965,0.076365831
0.928011014,0.074747314
0.929255064,0.073649539
0.930499113,0.073142871
0.931743161,0.072368799
0.932987212,0.07129917
0.934231261,0.069751024
0.935475309,0.067851027
0.93671936,0.065965103
0.937963408,0.064557697
0.939207457,0.063192514
0.940451508,0.061573997
0.941695556,0.059941407
0.942939605,0.057942891
0.944183655,0.055747339
0.945427704,0.053678451
0.946671753,0.05214438
0.947915803,0.051116973
0.949159852,0.050244381
0.950403901,0.048654013
0.951647951,0.046824386
0.952892,0.045219944
0.954136049,0.044403649
0.955380099,0.044009574
0.956624148,0.044108093
0.957868197,0.044783649
0.959112247,0.04579698
0.960356296,0.046486609
0.961600345,0.046500683
0.962844395,0.046359943
0.964088444,0.046191054
0.965332492,0.046022164
0.966576543,0.045065129
0.967820592,0.043615501
0.96906464,0.042630317
0.970308691,0.042067356
0.971552739,0.042053281
0.972796788,0.042137726
0.974040839,0.041729577
0.975284887,0.040491061
0.976528936,0.0387881
0.977772986,0.03781699
0.979017035,0.039083656
0.980261084,0.04236291
0.981505134,0.046613276
0.982749183,0.051511047
0.983993232,0.057394003
0.985237282,0.064684364
0.986481331,0.073368057
0.98772538,0.083431007
0.98896943,0.095140623
0.990213479,0.108581346
0.991457528,0.123612439
0.992701578,0.140121307
0.993945627,0.157207211
0.995189676,0.174208671
0.996433726,0.190492356
0.997677775,0.206142706
0.998921824,0.221018984
1.000165874,0.234192301
1.001409923,0.245071547
1.002653971,0.253544129
1.003898022,0.260370046
1.005142071,0.265647817
1.006386119,0.269532257
1.00763017,0.271629291
1.008874218,0.271826329
1.010118267,0.270461144
1.011362317,0.267013001
1.012606366,0.262002637
1.013850415,0.255753756
1.015094465,0.248575987
1.016338514,0.240877479
1.017582563,0.232573784
1.018826613,0.223693054
1.020070662,0.214263437
1.021314711,0.204918263
1.022558761,0.195657534
1.02380281,0.185932361
1.025046859,0.175939781
1.026290909,0.165243499
1.027534958,0.154350179
1.028779007,0.143724266
1.030023057,0.133605019
1.031267106,0.124090957
1.032511155,0.114661339
1.033755205,0.105836906
1.034999254,0.097786544
1.036243302,0.090679146
1.037487353,0.084176933
1.038731402,0.07823768
1.03997545,0.072847317
1.041219501,0.067738434
1.042463549,0.063333254
1.043707598,0.059406593
1.044951649,0.055916227
1.046195697,0.052960674
1.047439746,0.050905863
1.048683796,0.049484383
1.049927845,0.048358459
1.051171894,0.046894757
1.052415944,0.045051056
1.053659993,0.04312291
1.054904042,0.041265134
1.056148092,0.039914024
1.057392141,0.039351061
1.05863619,0.039519951
1.05988024,0.040195506
1.061124289,0.040983653
1.062368338,0.041729577
1.063612388,0.042081429
1.064856437,0.042320689
1.066100486,0.042559947
1.067344536,0.042334761
1.068588585,0.041236986
1.069832633,0.039069581
1.071076684,0.035987363
1.072320733,0.032384404
1.073564781,0.028570334
1.074808832,0.02498145
1.07605288,0.022617009
1.077296929,0.021491084
1.07854098,0.021561454
1.079785028,0.021350344
1.081029077,0.020914049
1.082273127,0.02036516
1.083517176,0.01991479
1.084761225,0.019928864
1.086005275,0.020168123
1.087249324,0.020604419
1.088493373,0.020717011
1.089737423,0.020337011
1.090981472,0.01977405
1.092225521,0.01932368
1.093469571,0.019154791
1.09471362,0.01946442
1.095957669,0.020139974
1.097201719,0.02140664
1.098445768,0.022645157
1.099689817,0.023616267
1.100933867,0.02431997
1.102177916,0.025065894
1.103421965,0.026304411
1.104666015,0.028091817
1.105910064,0.029963666
1.107154112,0.031202183
1.108398163,0.031582183
1.109642212,0.031891813
1.11088626,0.032468849
1.112130311,0.032834774
1.113374359,0.032426626
1.114618408,0.032088849
1.115862458,0.031891813
1.117106507,0.032328109
1.118350556,0.032623663
1.119594606,0.032764404
1.120838655,0.033327366
1.122082704,0.034143661
1.123326754,0.034988104
1.124570803,0.03566366
1.125814852,0.036128103
1.127058902,0.036437733
1.128302951,0.036874029
1.129547,0.037549583
1.13079105,0.038379953
1.132035099,0.039702913
